,SITE_NAME,genus,pred,occurence
0,Aba Zawei,Coelodonta,0.8080663607241,1
1,Aba Zawei,Equus,0.794928959110725,1
2,Aba Zawei,Rhinoceros,0.7748050368175292,0
3,Aba Zawei,Dicerorhinus,0.7539622860951151,0
4,Aba Zawei,Procapra,0.7358008912754475,0
414,Abric Romani,Alopex,0.6661913312793358,0
415,Abric Romani,Vulpes,0.6554471183530269,1
416,Abric Romani,Rupicapra,0.6538110286198404,1
417,Abric Romani,Ovibos,0.6521087615132097,0
418,Abric Romani,Canis,0.6445473848766129,1
828,Acheng_Jiaojie,Lepus,0.7157128015773496,1
829,Acheng_Jiaojie,Myospalax,0.6708780099238916,1
830,Acheng_Jiaojie,Alilepus,0.6632746246677994,0
831,Acheng_Jiaojie,Sinomegaceros,0.6609140033462696,0
832,Acheng_Jiaojie,Hydropotes,0.6471561938849005,0
1242,Adler cave,Lepus,0.745262949847833,1
1243,Adler cave,Pliolagomys,0.733329850293209,0
1244,Adler cave,Ochotona,0.6967150655633144,1
1245,Adler cave,Oryctolagus,0.6922951719733538,0
1246,Adler cave,Ochotonoides,0.6470120558891059,0
1656,Adyrgan,Promimomys,0.8915138847854182,1
1657,Adyrgan,Villanyia,0.8837312786486631,1
1658,Adyrgan,Orientalomys,0.8822491028846297,1
1659,Adyrgan,Huaxiamys,0.8753780993610304,0
1660,Adyrgan,Pseudomeriones,0.8753780993610304,0
2070,Akali,Gulo,0.7484410131701233,0
2071,Akali,Lutra,0.7279366471339646,1
2072,Akali,Mustela,0.7163064975776495,0
2073,Akali,Martes,0.7156609122953854,1
2074,Akali,Meles,0.7144428079242073,1
2484,Akhalkalaki,Vormela,0.7682578601538957,1
2485,Akhalkalaki,Melursus,0.7495647471932407,0
2486,Akhalkalaki,Enhydrictis,0.7485951785452858,0
2487,Akhalkalaki,Pannonictis,0.7399837000285897,0
2488,Akhalkalaki,Catopuma,0.7375814600869554,0
