,Binomial,Order,Family,Mass.g,Mass.Method,Mass.Source,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,AL,Source,HYP.x,LOP.x,Fully.coded,Genus,Species,Synonym,massg,HYP.y,LOP.y,FCT_HOD,FCT_AL,FCT_OL,FCT_SF,FCT_OT,FCT_CM,OO,ETH,LOPT,BUN
1,Addax_nasomaculatus,Cetartiodactyla,Bovidae,70000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Addax,nasomaculatus,NA,70000.3,3,2,1,0,1,1,0,0,0,0,0,0
2,Aepyceros_melampus,Cetartiodactyla,Bovidae,52500.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Aepyceros,melampus,NA,52500.1,3,2,1,0,1,0,0,0,1,0,0,0
3,Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,171001.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Alcelaphus,buselaphus,NA,171001.5,3,2,1,0,1,0,1,0,0,0,0,0
4,Alces_alces,Cetartiodactyla,Cervidae,356998,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",1,"Galbrun et al., ",1,2,Y,Alces,alces,NA,356998,1,2,1,1,1,0,0,0,0,0,0,0
5,Allochrocebus_lhoesti,Primates,Cercopithecidae,5375,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,10,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Allochrocebus,lhoesti,NA,5375,1,0,1,0,0,0,0,0,0,0,0,1
6,Allochrocebus_preussi,Primates,Cercopithecidae,5250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,10,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Allochrocebus,preussi,NA,5250,1,0,1,0,0,0,0,0,0,0,0,1
7,Allochrocebus_solatus,Primates,Cercopithecidae,6500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",90,10,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Allochrocebus,solatus,NA,6500,1,0,1,0,0,0,0,0,0,0,0,1
8,Alouatta_arctoidea,Primates,Atelidae,5390,Reported,Primate Conservation 9: 61-66(1988),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,arctoidea,NA,5390,1,1,1,0,0,0,0,0,0,0,0,1
9,Alouatta_belzebul,Primates,Atelidae,6400,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,belzebul,NA,6400,1,1,1,0,0,0,0,0,0,0,0,1
10,Alouatta_caraya,Primates,Atelidae,5862.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,caraya,NA,5862.5,1,1,1,0,0,0,0,0,0,0,0,1
11,Alouatta_discolor,Primates,Atelidae,6262.8,Assumed isometric based on skull size,Revista Brasileira de Zoologia 23: 64-144 (2006),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,Imputed,1,1,Y,Alouatta,discolor,NA,6262.8,1,1,1,0,0,0,0,0,0,0,0,1
12,Alouatta_guariba,Primates,Atelidae,5589.2,Assumed isometric based on skull size,Revista Brasileira de Zoologia 23: 64-144 (2006),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,guariba,NA,5589.2,1,1,1,0,0,0,0,0,0,0,0,1
13,Alouatta_macconnelli,Primates,Atelidae,7554.8,Assumed isometric based on skull size,Revista Brasileira de Zoologia 23: 64-144 (2006),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,macconnelli,NA,7554.8,1,1,1,0,0,0,0,0,0,0,0,1
14,Alouatta_nigerrima,Primates,Atelidae,7662,Assumed isometric based on skull size,Revista Brasileira de Zoologia 23: 64-144 (2006),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,nigerrima,NA,7662,1,1,1,0,0,0,0,0,0,0,0,1
15,Alouatta_palliata,Primates,Atelidae,7275,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,palliata,NA,7275,1,1,1,0,0,0,0,0,0,0,0,1
16,Alouatta_pigra,Primates,Atelidae,7000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,pigra,NA,7000,1,1,1,0,0,0,0,0,0,0,0,1
17,Alouatta_sara,Primates,Atelidae,6611,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,sara,NA,6611,1,1,1,0,0,0,0,0,0,0,0,1
18,Alouatta_seniculus,Primates,Atelidae,6145.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,1,Y,Alouatta,seniculus,NA,6145.5,1,1,1,0,0,0,0,0,0,0,0,1
19,Alouatta_ululata,Primates,Atelidae,6682.1,Assumed isometric based on skull size,Revista Brasileira de Zoologia 23: 64-144 (2006),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,Imputed,1,1,Y,Alouatta,ululata,NA,6682.1,1,1,1,0,0,0,0,0,0,0,0,1
20,Ammodorcas_clarkei,Cetartiodactyla,Bovidae,28049.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,2,Y,Ammodorcas,clarkei,NA,28049.8,3,2,1,0,1,0,0,0,1,0,0,0
21,Ammotragus_lervia,Cetartiodactyla,Bovidae,48000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Ammotragus,lervia,NA,48000,3,2,1,0,1,0,0,0,1,0,0,0
22,Antidorcas_marsupialis,Cetartiodactyla,Bovidae,31500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Antidorcas,marsupialis,NA,31500,3,2,1,0,1,0,0,0,1,0,0,0
23,Antilocapra_americana,Cetartiodactyla,Antilocapridae,46082.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,"Oksanen et al., 2019",3,2,Y,Antilocapra,americana,NA,46082.9,3,2,1,0,1,0,0,0,1,0,0,0
24,Antilope_cervicapra,Cetartiodactyla,Bovidae,37500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1,"Galbrun et al., ",3,2,Y,Antilope,cervicapra,NA,37500,3,2,1,0,1,0,0,0,1,0,0,0
25,Arabitragus_jayakari,Cetartiodactyla,Bovidae,23000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Arabitragus,jayakari,Hemitragus_jayakari,23000,3,2,1,0,1,0,0,0,1,0,0,0
26,Ateles_belzebuth,Primates,Atelidae,5000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Ateles,belzebuth,NA,5000,1,0,1,0,0,0,0,0,0,0,0,1
27,Ateles_chamek,Primates,Atelidae,6000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Ateles,chamek,NA,6000,1,0,1,0,0,0,0,0,0,0,0,1
28,Ateles_fusciceps,Primates,Atelidae,9100,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Ateles,fusciceps,NA,9100,1,0,1,0,0,0,0,0,0,0,0,1
29,Ateles_geoffroyi,Primates,Atelidae,5284.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Ateles,geoffroyi,NA,5284.9,1,0,1,0,0,0,0,0,0,0,0,1
30,Ateles_hybridus,Primates,Atelidae,8675,Reported,IUCN species fact sheet,90,0,10,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,0,Y,Ateles,hybridus,NA,8675,1,0,1,0,0,0,0,0,0,0,0,1
31,Ateles_marginatus,Primates,Atelidae,6000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Ateles,marginatus,NA,6000,1,0,1,0,0,0,0,0,0,0,0,1
32,Ateles_paniscus,Primates,Atelidae,7900.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Ateles,paniscus,NA,7900.1,1,0,1,0,0,0,0,0,0,0,0,1
33,Axis_axis,Cetartiodactyla,Cervidae,66172.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",2,2,Y,Axis,axis,NA,66172.8,2,2,1,0,1,1,0,0,0,0,0,0
34,Axis_calamianensis,Cetartiodactyla,Cervidae,40500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",2,2,Y,Axis,calamianensis,NA,40500,2,2,1,0,1,1,0,0,0,0,0,0
35,Axis_kuhlii,Cetartiodactyla,Cervidae,55000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",2,2,Y,Axis,kuhlii,NA,55000,2,2,1,0,1,1,0,0,0,0,0,0
36,Axis_porcinus,Cetartiodactyla,Cervidae,34127.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",2,2,Y,Axis,porcinus,NA,34127.8,2,2,1,0,1,1,0,0,0,0,0,0
37,Babyrousa_babyrussa,Cetartiodactyla,Suidae,1.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",1,0,Y,Babyrousa,babyrussa,NA,1.00E+05,1,0,1,0,0,0,0,0,0,0,0,1
38,Babyrousa_celebensis,Cetartiodactyla,Suidae,84327.5,Assumed isometric based on skull size,Asian Wild Pig News 2: 33-39 (2002),80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",1,0,Y,Babyrousa,celebensis,NA,84327.5,1,0,1,0,0,0,0,0,0,0,0,1
39,Babyrousa_togeanensis,Cetartiodactyla,Suidae,113762.8,Assumed isometric based on skull size,Asian Wild Pig News 2: 33-39 (2002),80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Babyrousa,togeanensis,NA,113762.8,1,0,1,0,0,0,0,0,0,0,0,1
40,Beatragus_hunteri,Cetartiodactyla,Bovidae,80000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Beatragus,hunteri,NA,80000,3,2,1,0,1,0,1,0,0,0,0,0
41,Bison_bison,Cetartiodactyla,Bovidae,579255.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,"Oksanen et al., 2019",3,2,Y,Bison,bison,NA,579255.3,3,2,1,0,1,1,0,0,0,0,0,0
42,Bison_bonasus,Cetartiodactyla,Bovidae,5.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Bison,bonasus,NA,5.00E+05,3,2,1,0,1,1,0,0,0,0,0,0
43,Blastocerus_dichotomus,Cetartiodactyla,Cervidae,86666.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1,"Oksanen et al., 2019",1,2,Y,Blastocerus,dichotomus,NA,86666.2,1,2,1,1,1,0,0,0,0,0,0,0
44,Bos_gaurus,Cetartiodactyla,Bovidae,825000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Bos,gaurus,NA,825000,3,2,1,0,1,1,0,1,0,0,0,0
45,Bos_javanicus,Cetartiodactyla,Bovidae,7.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Bos,javanicus,NA,7.00E+05,3,2,1,0,1,1,0,1,0,0,0,0
46,Bos_mutus,Cetartiodactyla,Bovidae,546250,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Bos,mutus,Bos_grunniens,546250,3,2,1,0,1,1,0,1,0,0,0,0
47,Bos_sauveli,Cetartiodactyla,Bovidae,8.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Bos,sauveli,NA,8.00E+05,3,2,1,0,1,1,0,1,0,0,0,0
48,Boselaphus_tragocamelus,Cetartiodactyla,Bovidae,169000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Boselaphus,tragocamelus,NA,169000,3,2,1,0,1,1,0,0,0,0,0,0
49,Brachyteles_arachnoides,Primates,Atelidae,13499.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Brachyteles,arachnoides,NA,13499.9,1,0,1,0,0,0,0,0,0,0,0,1
50,Brachyteles_hypoxanthus,Primates,Atelidae,8865,Reported,IUCN species fact sheet,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Brachyteles,hypoxanthus,NA,8865,1,0,1,0,0,0,0,0,0,0,0,1
51,Bubalus_arnee,Cetartiodactyla,Bovidae,725000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Bubalus,arnee,Bubalus_bubalis,725000,3,2,1,0,1,1,0,1,0,0,0,0
52,Bubalus_depressicornis,Cetartiodactyla,Bovidae,88000,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Bubalus,depressicornis,NA,88000,3,2,1,0,1,1,0,1,0,0,0,0
53,Bubalus_mindorensis,Cetartiodactyla,Bovidae,224000,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Bubalus,mindorensis,NA,224000,3,2,1,0,1,1,0,1,0,0,0,0
54,Bubalus_quarlesi,Cetartiodactyla,Bovidae,76000,Reported,"Rozzi, R. 2017. A new extinct dwarfed buffalo from Sulawesi and the evolution of the subgenus Anoa: an interdisciplinary perspective. Quaternary Science Reviews 157:188-205.",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Bubalus,quarlesi,NA,76000,3,2,1,0,1,1,0,1,0,0,0,0
55,Budorcas_taxicolor,Cetartiodactyla,Bovidae,302000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Budorcas,taxicolor,NA,302000,3,2,1,0,1,0,0,0,1,0,0,0
56,Cacajao_calvus,Primates,Pitheciidae,5796,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",1,0,Y,Cacajao,calvus,NA,5796,1,0,1,0,0,0,0,0,0,0,0,1
57,Cacajao_hosomi,Primates,Pitheciidae,3100,Reported,International Journal of Primatology 29: 723-741 (2008),80,10,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,Imputed,1,0,Y,Cacajao,hosomi,NA,3100,1,0,1,0,0,0,0,0,0,0,0,1
58,Camelus_ferus,Cetartiodactyla,Camelidae,690000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Camelus,ferus,Camelus_bactrianus,690000,3,2,1,0,1,0,0,0,1,0,0,0
59,Capra_aegagrus,Cetartiodactyla,Bovidae,33500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0,Imputed,3,2,Y,Capra,aegagrus,NA,33500,3,2,1,0,1,0,0,0,1,0,0,0
60,Capra_caucasica,Cetartiodactyla,Bovidae,55000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Capra,caucasica,NA,55000,3,2,1,0,1,0,0,0,1,0,0,0
