,Binomial,Order,Family,Mass.g,Mass.Method,Mass.Source,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,AL,Source,HYP.x,LOP.x,Fully.coded,Genus,Species,Synonym,massg,HYP.y,LOP.y,FCT_HOD,FCT_AL,FCT_OL,FCT_SF,FCT_OT,FCT_CM,OO,ETH,LOPT,BUN
285,Muntiacus_truongsonensis,Cetartiodactyla,Cervidae,15000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",0,"Galbrun et al., ",1,2,Y,Muntiacus,truongsonensis,NA,15000,1,2,1,1,1,0,0,0,0,0,0,0
286,Muntiacus_vaginalis,Cetartiodactyla,Cervidae,18218,Imputed,PHYLACINE 1.2.1,100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,Imputed,1,2,Y,Muntiacus,vaginalis,NA,18218,1,2,1,1,1,0,0,0,0,0,0,0
287,Muntiacus_vuquangensis,Cetartiodactyla,Cervidae,34000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Galbrun et al., ",1,2,Y,Muntiacus,vuquangensis,NA,34000,1,2,1,1,1,0,0,0,0,0,0,0
288,Naemorhedus_baileyi,Cetartiodactyla,Bovidae,27487.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Naemorhedus,baileyi,NA,27487.5,3,2,1,0,1,0,0,0,1,0,0,0
289,Naemorhedus_caudatus,Cetartiodactyla,Bovidae,27000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Naemorhedus,caudatus,NA,27000,3,2,1,0,1,0,0,0,1,0,0,0
290,Naemorhedus_goral,Cetartiodactyla,Bovidae,28500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Naemorhedus,goral,NA,28500,3,2,1,0,1,0,0,0,1,0,0,0
291,Naemorhedus_griseus,Cetartiodactyla,Bovidae,25000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",3,2,Y,Naemorhedus,griseus,NA,25000,3,2,1,0,1,0,0,0,1,0,0,0
292,Nanger_dama,Cetartiodactyla,Bovidae,72999.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Nanger,dama,NA,72999.5,3,2,1,0,1,0,0,0,1,0,0,0
293,Nanger_granti,Cetartiodactyla,Bovidae,54999.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Nanger,granti,NA,54999.7,3,2,1,0,1,0,0,0,1,0,0,0
294,Nanger_soemmerringii,Cetartiodactyla,Bovidae,40000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Transformed 000 Species,"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.",0,"Oksanen et al., 2019",3,2,Y,Nanger,soemmerringii,NA,40000,3,2,1,0,1,0,0,0,1,0,0,0
295,Nasalis_larvatus,Primates,Cercopithecidae,9000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",1,"Galbrun et al., ",1,0,Y,Nasalis,larvatus,NA,9000,1,0,1,1,0,0,0,0,0,0,0,0
296,Neotragus_batesi,Cetartiodactyla,Bovidae,3000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",2,2,Y,Neotragus,batesi,NA,3000,2,2,1,0,1,0,0,0,1,0,0,0
297,Neotragus_pygmaeus,Cetartiodactyla,Bovidae,4000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",2,2,Y,Neotragus,pygmaeus,NA,4000,2,2,1,0,1,0,0,0,1,0,0,0
298,Nesotragus_moschatus,Cetartiodactyla,Bovidae,6500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",2,2,Y,Nesotragus,moschatus,Neotragus_moschatus,6500,2,2,1,0,1,0,0,0,1,0,0,0
299,Nilgiritragus_hylocrius,Cetartiodactyla,Bovidae,75000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Oksanen et al., 2019",3,2,Y,Nilgiritragus,hylocrius,Hemitragus_hylocrius,75000,3,2,1,0,1,0,0,0,1,0,0,0
300,Nomascus_concolor,Primates,Hylobatidae,7500,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",1,0,Y,Nomascus,concolor,NA,7500,1,0,1,0,0,0,0,0,0,0,0,1
301,Nomascus_gabriellae,Primates,Hylobatidae,8000,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Galbrun et al., ",1,0,Y,Nomascus,gabriellae,NA,8000,1,0,1,0,0,0,0,0,0,0,0,1
302,Nomascus_hainanus,Primates,Hylobatidae,7500,Reported,"Smith AT, Xie Y, Hoffmann RS, Lunde D, MacKinnon J, Wilson DE, Wozencraft WD. A Guide to the Mammals of China (2008)",100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,0,Y,Nomascus,hainanus,NA,7500,1,0,1,0,0,0,0,0,0,0,0,1
303,Nomascus_leucogenys,Primates,Hylobatidae,8000,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",1,0,Y,Nomascus,leucogenys,NA,8000,1,0,1,0,0,0,0,0,0,0,0,1
304,Nomascus_nasutus,Primates,Hylobatidae,8000,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),100,0,0,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Oksanen et al., 2019",1,0,Y,Nomascus,nasutus,NA,8000,1,0,1,0,0,0,0,0,0,0,0,1
305,Nomascus_siki,Primates,Hylobatidae,8000,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),90,0,10,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.",0,"Galbrun et al., ",1,0,Y,Nomascus,siki,NA,8000,1,0,1,0,0,0,0,0,0,0,0,1
306,Nycticebus_bengalensis,Primates,Lorisidae,1500,Reported,Francis CM. A Guide to the Mammals of Southeast Asia (2008),90,0,10,Transformed 000 Species,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.",0,"Galbrun et al., ",1,0,Y,Nycticebus,bengalensis,NA,1500,1,0,1,0,0,0,0,0,0,0,0,1
307,Odocoileus_hemionus,Cetartiodactyla,Cervidae,54212.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",100,0,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",1,"Oksanen et al., 2019",1,2,Y,Odocoileus,hemionus,NA,54212.6,1,2,1,1,1,0,0,0,0,0,0,0
